,c_1,c_2,c_3,c_4,c_5
0,-2.620175838470459,-1.9289969205856323,-4.023331165313721,7.19050931930542,-3.3388209342956543
1,4.298525333404541,2.480468273162842,2.814969778060913,0.869880199432373,-3.051543712615967
2,-0.0905599594116211,-2.853034019470215,-1.224657416343689,0.4930262565612793,1.0719194412231445
3,5.28812837600708,-3.513767957687378,-0.15993642807006836,-1.837878704071045,1.218395709991455
4,-2.1188604831695557,-2.629998207092285,-1.0384427309036255,0.8027691841125488,0.5931558609008789
5,2.133413791656494,2.6966023445129395,1.034132957458496,-3.441164970397949,-1.325143814086914
6,-5.679703712463379,-1.1119000911712646,-3.203012466430664,3.2539334297180176,1.7793464660644531
7,2.587563991546631,2.6346731185913086,0.7061154842376709,0.874079704284668,2.4635772705078125
8,-4.136014461517334,3.675967216491699,-2.2324423789978027,-2.8689098358154297,0.06120443344116211
9,-2.843217134475708,3.9068198204040527,-4.026378631591797,1.0904803276062012,-1.1614091396331787
10,-4.430819511413574,3.1147704124450684,3.4030001163482666,4.401917457580566,-1.578365445137024
11,4.191176891326904,-1.2049905061721802,-1.4048371315002441,1.5654478073120117,2.377470016479492
12,3.20485258102417,2.659870147705078,1.221303939819336,-0.3368949890136719,-0.21577072143554688
13,-2.386138916015625,2.577788829803467,4.30885124206543,-0.6097407341003418,0.5381820201873779
14,3.702632427215576,2.5452308654785156,1.8025529384613037,1.5067167282104492,1.968346118927002
15,3.7442173957824707,-3.596325159072876,1.4102067947387695,-1.6841316223144531,0.8718135356903076
16,-4.708509922027588,3.282545566558838,-0.39494019746780396,1.3257899284362793,4.339023590087891
17,-7.589443206787109,-1.961860179901123,-2.6950526237487793,1.9306542873382568,-1.0151865482330322
18,-0.6198334693908691,-2.255983352661133,1.4866397380828857,-0.33316469192504883,2.324460983276367
19,5.276005268096924,2.8023486137390137,-0.7334637641906738,1.6570558547973633,-0.5864696502685547
20,-3.119504928588867,3.2487921714782715,0.5097653865814209,-1.6626358032226562,-1.4547340869903564
21,3.641920566558838,2.381978988647461,1.863654613494873,-2.8310604095458984,2.414130210876465
22,1.64402437210083,-2.3928146362304688,-5.232817649841309,-0.29375267028808594,-3.1603546142578125
23,-2.3344640731811523,-2.138611316680908,3.2326948642730713,1.059957504272461,-2.312073230743408
24,3.783926486968994,-2.654914379119873,2.9699065685272217,0.22313261032104492,-1.5033608675003052
25,1.0684585571289062,3.2257556915283203,-1.2679443359375,1.7140750885009766,0.9286670684814453
26,1.5986852645874023,-0.17933142185211182,0.691981315612793,0.32303857803344727,2.7455554008483887
27,4.424448490142822,-2.0160939693450928,-2.2111778259277344,2.0478403568267822,0.4876420497894287
28,-8.178054809570312,-1.0320006608963013,-2.4347028732299805,-1.637618064880371,0.6082806587219238
29,2.751685619354248,2.5675578117370605,2.1115684509277344,-2.3063793182373047,-0.8394660949707031
